title	Verb
for	@V?[^RS]**

Imperative	Sg	2m	@V[aZ]M2MS*	@VdM2MS*	@V[bCxRyNGzQo]M2MS*	@V[eFAwIKL]M2MS*	@VcM2MS*	@ViM2MS*	@V[gTOBDSEHnUPl]M2MS*
		2f	@V[aZ]M2FS*	@VdM2FS*	@V[bCxRyNGzQo]M2FS*	@V[eFAwIKL]M2FS*	@VcM2FS*	@ViM2FS*	@V[gTOBDSEHnUPl]M2FS*
	Pl	2m	@V[aZ]M2MP*	@VdM2MP*	@V[bCxRyNGzQo]M2MP*	@V[eFAwIKL]M2MP*	@VcM2MP*	@ViM2MP*	@V[gTOBDSEHnUPl]M2MP*
		2f	@V[aZ]M2FP*	@VdM2FP*	@V[bCxRyNGzQo]M2FP*	@V[eFAwIKL]M2FP*	@VcM2FP*	@ViM2FP*	@V[gTOBDSEHnUPl]M2FP*
Cohortative	Sg	3m	@V[aZ]?3MS?C*	@Vd?3MS?C*	@V[bCxRyNGzQo]?3MS?C*	@V[eFAwIKL]?3MS?C*	@Vc?3MS?C*	@Vi?3MS?C*	@V[gTOBDSEHnUPl]?3MS?C*
		3f	@V[aZ]?3FS?C*	@Vd?3FS?C*	@V[bCxRyNGzQo]?3FS?C*	@V[eFAwIKL]?3FS?C*	@Vc?3FS?C*	@Vi?3FS?C*	@V[gTOBDSEHnUPl]?3FS?C*
		2m	@V[aZ]?2MS?C*	@Vd?2MS?C*	@V[bCxRyNGzQo]?2MS?C*	@V[eFAwIKL]?2MS?C*	@Vc?2MS?C*	@Vi?2MS?C*	@V[gTOBDSEHnUPl]?2MS?C*
		1c	@V[aZ]?1?S?C*	@Vd?1?S?C*	@V[bCxRyNGzQo]?1?S?C*	@V[eFAwIKL]?1?S?C*	@Vc?1?S?C*	@Vi?1?S?C*	@V[gTOBDSEHnUPl]?1?S?C*
	Pl	1c	@V[aZ]?1?P?C*	@Vd?1?P?C*	@V[bCxRyNGzQo]?1?P?C*	@V[eFAwIKL]?1?P?C*	@Vc?1?P?C*	@Vi?1?P?C*	@V[gTOBDSEHnUPl]?1?P?C*
Jussive	Sg	3m	@V[aZ]?3MS?J*	@Vd?3MS?J*	@V[bCxRyNGzQo]?3MS?J*	@V[eFAwIKL]?3MS?J*	@Vc?3MS?J*	@Vi?3MS?J*	@V[gTOBDSEHnUPl]?3MS?J*
		3f	@V[aZ]?3FS?J*	@Vd?3FS?J*	@V[bCxRyNGzQo]?3FS?J*	@V[eFAwIKL]?3FS?J*	@Vc?3FS?J*	@Vi?3FS?J*	@V[gTOBDSEHnUPl]?3FS?J*
		2m	@V[aZ]?2MS?J*	@Vd?2MS?J*	@V[bCxRyNGzQo]?2MS?J*	@V[eFAwIKL]?2MS?J*	@Vc?2MS?J*	@Vi?2MS?J*	@V[gTOBDSEHnUPl]?2MS?J*
		2f	@V[aZ]?2FS?J*	@Vd?2FS?J*	@V[bCxRyNGzQo]?2FS?J*	@V[eFAwIKL]?2FS?J*	@Vc?2FS?J*	@Vi?2FS?J*	@V[gTOBDSEHnUPl]?2FS?J*
		1c	@V[aZ]?1?S?J*	@Vd?1?S?J*	@V[bCxRyNGzQo]?1?S?J*	@V[eFAwIKL]?1?S?J*	@Vc?1?S?J*	@Vi?1?S?J*	@V[gTOBDSEHnUPl]?1?S?J*
	Pl	3m	@V[aZ]?3MP?J*	@Vd?3MP?J*	@V[bCxRyNGzQo]?3MP?J*	@V[eFAwIKL]?3MP?J*	@Vc?3MP?J*	@Vi?3MP?J*	@V[gTOBDSEHnUPl]?3MP?J*
		3f	@V[aZ]?3FP?J*	@Vd?3FP?J*	@V[bCxRyNGzQo]?3FP?J*	@V[eFAwIKL]?3FP?J*	@Vc?3FP?J*	@Vi?3FP?J*	@V[gTOBDSEHnUPl]?3FP?J*
		2m	@V[aZ]?2MP?J*	@Vd?2MP?J*	@V[bCxRyNGzQo]?2MP?J*	@V[eFAwIKL]?2MP?J*	@Vc?2MP?J*	@Vi?2MP?J*	@V[gTOBDSEHnUPl]?2MP?J*
		2f	@V[aZ]?2FP?J*	@Vd?2FP?J*	@V[bCxRyNGzQo]?2FP?J*	@V[eFAwIKL]?2FP?J*	@Vc?2FP?J*	@Vi?2FP?J*	@V[gTOBDSEHnUPl]?2FP?J*
		1c	@V[aZ]?1?P?J*	@Vd?1?P?J*	@V[bCxRyNGzQo]?1?P?J*	@V[eFAwIKL]?1?P?J*	@Vc?1?P?J*	@Vi?1?P?J*	@V[gTOBDSEHnUPl]?1?P?J*
